Years,Tourism revenue,Trade balance
1995,232000000,-420000000
1996,237000000,-580000000
1997,201000000,-560000000
1998,248000000,-540000000
1999,229000000,-350000000
2000,219000000,-500000000
2001,191000000,-640000000
2002,134000000,-650000000
2003,232000000,-810000000
2004,260000000,-930000000
2005,160000000,-1210000000
2006,157000000,-1620000000
2007,234000000,-1950000000
2008,353000000,-2570000000
2009,439000000,-2860000000
2010,378000000,-4290000000
2011,415000000,-4540000000
2012,379000000,-4430000000
2013,460000000,-5160000000
2014,511000000,-5850000000
2015,509000000,-6390000000
2016,498000000,-6320000000
2017,712000000,-8410000000
2018,744000000,-10870000000
