Tourism revenue,Exports
232000000,1100000000
237000000,1030000000
201000000,1290000000
248000000,1110000000
229000000,1150000000
219000000,1280000000
191000000,1360000000
134000000,1070000000
232000000,990000000
260000000,1210000000
160000000,1190000000
157000000,1220000000
234000000,1330000000
353000000,1600000000
439000000,1600000000
378000000,1530000000
415000000,1680000000
379000000,1900000000
460000000,2060000000
511000000,2300000000
509000000,2490000000
498000000,2010000000
712000000,2260000000
744000000,2600000000
